audio,speaker,start,end,duration
1j20qq1JyX4_c_01.wav,SPEAKER_02,243.976,244.027,0.051
1j20qq1JyX4_c_01.wav,SPEAKER_02,252.059,252.413,0.354
1j20qq1JyX4_c_01.wav,SPEAKER_04,261.29,261.61,0.321
1j20qq1JyX4_c_01.wav,SPEAKER_04,261.863,263.18,1.316
1j20qq1JyX4_c_01.wav,SPEAKER_04,267.061,267.77,0.709
1j20qq1JyX4_c_01.wav,SPEAKER_00,269.525,269.727,0.202
1j20qq1JyX4_c_01.wav,SPEAKER_02,276.494,278.705,2.211
1j20qq1JyX4_c_01.wav,SPEAKER_02,279.38,281.607,2.228
1j20qq1JyX4_c_01.wav,SPEAKER_02,281.945,286.518,4.573
1j20qq1JyX4_c_01.wav,SPEAKER_04,287.108,289.032,1.924
1j20qq1JyX4_c_01.wav,SPEAKER_02,289.032,299.967,10.935
1j20qq1JyX4_c_01.wav,SPEAKER_04,292.492,293.318,0.827
video_001.wav,SPEAKER_00,5.043,9.025,3.982
video_001.wav,SPEAKER_00,9.869,11.978,2.109
video_001.wav,SPEAKER_01,11.978,12.788,0.81
video_001.wav,SPEAKER_01,14.257,15.303,1.046
video_001.wav,SPEAKER_01,15.59,17.834,2.244
video_001.wav,SPEAKER_01,18.728,19.032,0.304
video_001.wav,SPEAKER_00,19.032,25.107,6.075
video_001.wav,SPEAKER_00,25.428,27.993,2.565
video_001.wav,SPEAKER_01,27.537,30.929,3.392
video_001.wav,SPEAKER_00,36.599,37.898,1.299
video_001.wav,SPEAKER_00,38.371,42.725,4.354
video_001.wav,SPEAKER_01,43.433,43.754,0.321
video_001.wav,SPEAKER_01,44.26,47.534,3.274
video_001.wav,SPEAKER_00,46.775,46.792,0.017
video_001.wav,SPEAKER_00,47.534,47.737,0.203
video_001.wav,SPEAKER_01,47.737,51.82,4.084
video_001.wav,SPEAKER_00,52.175,56.056,3.881
video_001.wav,SPEAKER_00,56.984,58.638,1.654
video_001.wav,SPEAKER_01,60.983,64.004,3.021
video_001.wav,SPEAKER_00,61.743,62.772,1.029
video_001.wav,SPEAKER_00,63.785,65.523,1.738
video_001.wav,SPEAKER_01,65.32,65.337,0.017
video_001.wav,SPEAKER_01,65.523,66.687,1.164
video_001.wav,SPEAKER_00,66.687,66.991,0.304
video_001.wav,SPEAKER_00,67.733,69.522,1.789
video_001.wav,SPEAKER_01,69.522,71.665,2.143
video_001.wav,SPEAKER_00,69.792,71.648,1.856
video_001.wav,SPEAKER_00,71.665,73.403,1.738
video_001.wav,SPEAKER_01,72.172,73.201,1.029
video_001.wav,SPEAKER_01,76.238,78.635,2.396
video_001.wav,SPEAKER_01,79.377,80.997,1.62
video_001.wav,SPEAKER_00,80.997,81.031,0.034
video_001.wav,SPEAKER_00,82.246,84.777,2.531
video_001.wav,SPEAKER_00,85.452,88.287,2.835
video_001.wav,SPEAKER_01,88.287,88.54,0.253
video_001.wav,SPEAKER_00,88.54,94.565,6.024
video_001.wav,SPEAKER_00,94.919,100.673,5.754
video_001.wav,SPEAKER_01,99.88,100.387,0.506
video_001.wav,SPEAKER_00,101.568,104.943,3.375
video_001.wav,SPEAKER_01,104.943,108.773,3.831
video_001.wav,SPEAKER_00,107.052,108.352,1.299
video_001.wav,SPEAKER_01,110.225,111.203,0.979
video_001.wav,SPEAKER_01,111.71,115.675,3.966
video_001.wav,SPEAKER_00,115.962,116.182,0.219
video_001.wav,SPEAKER_01,116.182,116.198,0.017
video_001.wav,SPEAKER_01,116.992,125.024,8.032
video_001.wav,SPEAKER_00,121.312,121.919,0.607
video_001.wav,SPEAKER_00,125.024,128.99,3.966
video_001.wav,SPEAKER_01,130.745,131.707,0.962
video_001.wav,SPEAKER_00,131.099,131.757,0.658
video_001.wav,SPEAKER_01,131.757,134.086,2.329
video_001.wav,SPEAKER_00,132.263,132.382,0.118
video_001.wav,SPEAKER_00,133.04,139.79,6.75
video_001.wav,SPEAKER_01,138.608,140.245,1.637
video_001.wav,SPEAKER_01,140.363,140.515,0.152
video_001.wav,SPEAKER_01,143.671,144.818,1.148
video_001.wav,SPEAKER_00,146.202,148.362,2.16
video_001.wav,SPEAKER_00,149.138,150.488,1.35
video_001.wav,SPEAKER_01,150.488,150.843,0.354
video_001.wav,SPEAKER_00,150.742,155.585,4.843
video_001.wav,SPEAKER_00,156.479,156.496,0.017
video_001.wav,SPEAKER_01,156.496,156.8,0.304
video_001.wav,SPEAKER_00,156.8,156.85,0.051
video_001.wav,SPEAKER_01,156.85,164.697,7.847
video_001.wav,SPEAKER_00,164.748,174.856,10.108
video_001.wav,SPEAKER_01,174.451,178.282,3.831
video_001.wav,SPEAKER_00,181.218,184.998,3.78
video_001.wav,SPEAKER_00,186.044,190.685,4.641
video_001.wav,SPEAKER_00,191.495,195.038,3.544
video_001.wav,SPEAKER_00,195.832,200.624,4.792
video_001.wav,SPEAKER_01,200.624,200.978,0.354
video_001.wav,SPEAKER_01,201.282,202.514,1.232
video_001.wav,SPEAKER_00,202.514,205.147,2.633
video_001.wav,SPEAKER_00,205.653,209.247,3.594
video_001.wav,SPEAKER_00,210.85,212.572,1.721
video_001.wav,SPEAKER_00,213.078,214.006,0.928
video_001.wav,SPEAKER_00,214.394,216.25,1.856
video_001.wav,SPEAKER_00,216.503,218.883,2.379
video_001.wav,SPEAKER_01,219.997,223.034,3.037
video_001.wav,SPEAKER_00,223.034,223.051,0.017
video_001.wav,SPEAKER_01,223.051,223.338,0.287
video_001.wav,SPEAKER_00,223.338,228.502,5.164
video_001.wav,SPEAKER_01,226.24,226.493,0.253
video_001.wav,SPEAKER_01,228.502,228.873,0.371
video_001.wav,SPEAKER_00,229.126,237.563,8.438
video_001.wav,SPEAKER_01,237.563,238.745,1.181
video_001.wav,SPEAKER_00,237.783,240.314,2.531
video_001.wav,SPEAKER_00,240.922,246.811,5.889
video_001.wav,SPEAKER_00,247.486,248.397,0.911
video_001.wav,SPEAKER_00,248.785,251.907,3.122
video_001.wav,SPEAKER_00,252.228,254.607,2.379
video_001.wav,SPEAKER_01,254.607,254.793,0.186
video_001.wav,SPEAKER_01,255.755,256.835,1.08
video_001.wav,SPEAKER_00,256.835,257.172,0.337
video_001.wav,SPEAKER_00,257.56,262.302,4.742
video_001.wav,SPEAKER_01,259.028,260.918,1.89
video_001.wav,SPEAKER_01,261.61,261.796,0.186
