video,frame,face_box,blur_score,occlusion_score,quality_score
001_interview,000247.jpg,"[28,32,111,111]",0.9975,0.0826,0.9151
001_interview,000248.jpg,"[27,33,105,105]",0.9984,0.0785,0.92
001_interview,000249.jpg,"[28,36,109,109]",0.9974,0.0813,0.9163
001_interview,000250.jpg,"[29,37,106,106]",0.9787,0.0785,0.9019
001_interview,000251.jpg,"[28,35,106,106]",0.9982,0.085,0.9134
001_interview,000252.jpg,"[23,29,111,111]",0.9894,0.1004,0.8901
001_interview,000253.jpg,"[22,29,115,115]",0.9971,0.1121,0.8853
001_interview,000254.jpg,"[29,35,106,106]",0.9973,0.0672,0.9303
001_interview,000255.jpg,"[33,33,110,110]",0.9999,0.0736,0.9263
001_interview,000256.jpg,"[31,42,107,107]",0.8574,0.1084,0.7645
001_interview,000257.jpg,"[30,29,114,114]",0.9996,0.0915,0.9081
001_interview,000258.jpg,"[29,37,107,107]",0.9717,0.0769,0.897
001_interview,000259.jpg,"[33,35,107,107]",1.0,0.092,0.908
001_interview,000260.jpg,"[29,36,107,107]",0.9979,0.0912,0.9069
001_interview,000261.jpg,"[30,36,107,107]",0.9724,0.0728,0.9016
001_interview,000262.jpg,"[28,34,109,109]",0.9995,0.0734,0.9261
001_interview,000263.jpg,"[25,33,106,106]",0.9959,0.085,0.9112
001_interview,000264.jpg,"[22,34,113,113]",0.9935,0.0872,0.9069
001_interview,000265.jpg,"[27,35,107,107]",0.9904,0.0978,0.8935
001_interview,000266.jpg,"[24,33,112,112]",0.9874,0.0867,0.9018
001_interview,000267.jpg,"[28,38,110,110]",0.99,0.1017,0.8893
001_interview,000268.jpg,"[27,31,110,110]",0.9998,0.087,0.9128
001_interview,000269.jpg,"[29,35,108,108]",0.985,0.0903,0.8961
001_interview,000270.jpg,"[30,37,105,105]",0.9929,0.0869,0.9066
001_interview,000271.jpg,"[24,30,113,113]",0.8525,0.086,0.7792
001_interview,000272.jpg,"[27,36,108,108]",0.9831,0.1006,0.8842
001_interview,000273.jpg,"[29,36,111,111]",0.9989,0.0788,0.9202
001_interview,000274.jpg,"[28,32,107,107]",0.9782,0.0802,0.8997
001_interview,000275.jpg,"[31,37,109,109]",0.9992,0.0636,0.9357
001_interview,000276.jpg,"[27,37,104,104]",0.9945,0.0836,0.9114
001_interview,000277.jpg,"[29,34,105,105]",0.9927,0.1104,0.8831
001_interview,000278.jpg,"[27,32,108,108]",0.9559,0.0955,0.8646
001_interview,000279.jpg,"[25,32,109,109]",0.97,0.0947,0.8781
001_interview,000280.jpg,"[26,36,105,105]",0.9982,0.0792,0.9191
001_interview,000281.jpg,"[30,38,106,106]",0.8939,0.1192,0.7873
001_interview,000282.jpg,"[25,35,105,105]",0.9803,0.0813,0.9006
001_interview,000283.jpg,"[28,35,112,112]",0.9857,0.12,0.8674
001_interview,000284.jpg,"[33,35,103,103]",0.9982,0.1278,0.8706
001_interview,000285.jpg,"[24,33,112,112]",0.9977,0.1107,0.8873
001_interview,000286.jpg,"[30,32,114,114]",0.9998,0.0815,0.9183
001_interview,000287.jpg,"[30,37,110,110]",0.9867,0.0996,0.8884
001_interview,000288.jpg,"[35,38,106,106]",0.999,0.0842,0.9149
001_interview,000289.jpg,"[28,35,106,106]",0.987,0.0973,0.891
001_interview,000290.jpg,"[29,36,104,104]",0.9899,0.1001,0.8908
001_interview,000291.jpg,"[28,31,111,111]",0.9933,0.0976,0.8964
001_interview,000292.jpg,"[30,37,109,109]",0.9948,0.066,0.9291
001_interview,000293.jpg,"[34,39,110,110]",0.9993,0.0987,0.9007
001_interview,000294.jpg,"[30,35,115,115]",0.995,0.084,0.9114
001_interview,000295.jpg,"[34,41,102,102]",0.9925,0.1517,0.8419
001_interview,000296.jpg,"[25,31,110,110]",0.9541,0.0929,0.8655
001_interview,000297.jpg,"[32,34,109,109]",0.9908,0.093,0.8987
001_interview,000298.jpg,"[24,36,109,109]",0.9141,0.0961,0.8263
001_interview,000299.jpg,"[24,32,110,110]",0.9996,0.0663,0.9333
001_interview,000300.jpg,"[31,33,106,106]",0.912,0.0782,0.8407
001_interview,000301.jpg,"[26,32,108,108]",0.9892,0.0719,0.9181
001_interview,000302.jpg,"[30,39,109,109]",0.9934,0.0762,0.9177
001_interview,000303.jpg,"[25,38,111,111]",0.9953,0.1002,0.8956
001_interview,000306.jpg,"[48,35,27,27]",1.0,0.2617,0.7383
001_interview,000308.jpg,"[37,38,25,25]",1.0,0.3216,0.6784
001_interview,000309.jpg,"[41,38,30,30]",1.0,0.251,0.749
001_interview,000310.jpg,"[26,18,29,29]",1.0,0.2831,0.7169
001_interview,000311.jpg,"[27,36,34,34]",1.0,0.473,0.527
001_interview,000312.jpg,"[31,38,112,112]",0.9998,0.1046,0.8952
001_interview,000313.jpg,"[25,38,109,109]",0.9204,0.1122,0.8171
001_interview,000314.jpg,"[34,37,104,104]",1.0,0.0919,0.9081
001_interview,000315.jpg,"[28,36,111,111]",0.9864,0.0884,0.8992
001_interview,000316.jpg,"[21,36,110,110]",0.9985,0.1296,0.8691
001_interview,000317.jpg,"[31,36,103,103]",0.9974,0.0968,0.9009
001_interview,000318.jpg,"[36,40,104,104]",0.7117,0.079,0.6555
001_interview,000319.jpg,"[28,35,107,107]",0.9947,0.0705,0.9246
001_interview,000320.jpg,"[32,34,108,108]",0.9997,0.0818,0.9179
001_interview,000321.jpg,"[31,44,100,100]",0.9946,0.1061,0.8891
001_interview,000322.jpg,"[25,32,112,112]",0.9997,0.0804,0.9193
001_interview,000323.jpg,"[29,37,106,106]",0.9998,0.0754,0.9244
001_interview,000324.jpg,"[28,39,103,103]",0.952,0.1015,0.8554
001_interview,000325.jpg,"[33,36,105,105]",0.9999,0.0902,0.9097
001_interview,000326.jpg,"[24,29,103,103]",0.9936,0.081,0.9131
001_interview,000327.jpg,"[28,36,105,105]",0.9591,0.0981,0.865
001_interview,000328.jpg,"[28,38,106,106]",0.9971,0.0807,0.9166
001_interview,000329.jpg,"[28,41,105,105]",0.998,0.1169,0.8813
001_interview,000330.jpg,"[31,39,105,105]",0.9661,0.0707,0.8978
001_interview,000331.jpg,"[33,40,105,105]",0.9947,0.0883,0.9069
001_interview,000332.jpg,"[35,35,101,101]",0.9809,0.0635,0.9186
001_interview,000333.jpg,"[29,34,105,105]",0.9602,0.0864,0.8772
001_interview,000334.jpg,"[31,36,106,106]",0.981,0.0689,0.9134
001_interview,000335.jpg,"[28,37,106,106]",0.9969,0.0773,0.9198
001_interview,000336.jpg,"[28,31,102,102]",0.9711,0.0888,0.8849
001_interview,000337.jpg,"[28,32,105,105]",0.9904,0.0805,0.9107
001_interview,000338.jpg,"[32,35,109,109]",0.9962,0.0873,0.9092
001_interview,000339.jpg,"[34,42,97,97]",0.9199,0.1269,0.8032
001_interview,000340.jpg,"[31,33,106,106]",0.9995,0.1108,0.8888
001_interview,000341.jpg,"[28,48,109,109]",0.9704,0.0936,0.8796
001_interview,000342.jpg,"[29,30,110,110]",0.9999,0.0864,0.9135
001_interview,000343.jpg,"[25,33,113,113]",0.9942,0.0837,0.911
001_interview,000344.jpg,"[24,28,110,110]",0.9995,0.1098,0.8898
001_interview,000345.jpg,"[26,33,109,109]",0.9263,0.092,0.8411
001_interview,000346.jpg,"[28,35,104,104]",0.9807,0.0799,0.9023
001_interview,000347.jpg,"[31,34,103,103]",0.9945,0.075,0.9199
001_interview,000348.jpg,"[28,32,106,106]",0.999,0.0848,0.9143
001_interview,000349.jpg,"[31,31,107,107]",0.9831,0.0884,0.8962
001_interview,000350.jpg,"[32,35,105,105]",0.6791,0.0933,0.6157
001_interview,000351.jpg,"[35,35,107,107]",0.9341,0.0585,0.8795
001_interview,000352.jpg,"[25,37,105,105]",0.9199,0.0784,0.8478
001_interview,000353.jpg,"[29,39,108,108]",0.9942,0.088,0.9067
001_interview,000354.jpg,"[28,35,108,108]",0.9648,0.0795,0.8881
001_interview,000355.jpg,"[28,33,101,101]",0.9976,0.0982,0.8996
001_interview,000356.jpg,"[31,40,104,104]",0.9986,0.1125,0.8863
001_interview,000357.jpg,"[27,38,107,107]",0.9999,0.1057,0.8942
001_interview,000358.jpg,"[24,39,104,104]",0.9983,0.0758,0.9226
001_interview,000359.jpg,"[27,34,106,106]",0.5368,0.1034,0.4813
001_interview,000360.jpg,"[30,37,109,109]",0.9932,0.0729,0.9208
001_interview,000361.jpg,"[34,33,108,108]",0.9959,0.0757,0.9205
001_interview,000362.jpg,"[30,37,109,109]",0.9889,0.0925,0.8974
001_interview,000363.jpg,"[30,36,111,111]",0.9762,0.1309,0.8484
001_interview,000364.jpg,"[31,37,109,109]",0.9976,0.0972,0.9006
001_interview,000365.jpg,"[32,38,106,106]",0.9919,0.0748,0.9177
001_interview,000366.jpg,"[31,34,103,103]",0.9994,0.0941,0.9054
001_interview,000367.jpg,"[30,36,99,99]",0.9922,0.086,0.9069
001_interview,000368.jpg,"[32,37,108,108]",0.9984,0.0703,0.9282
001_interview,000369.jpg,"[25,34,108,108]",0.8945,0.109,0.797
001_interview,000370.jpg,"[31,38,100,100]",0.9992,0.0932,0.9061
001_interview,000371.jpg,"[29,49,110,110]",0.991,0.0889,0.9029
001_interview,000372.jpg,"[28,35,105,105]",0.8478,0.0968,0.7657
001_interview,000373.jpg,"[37,42,101,101]",0.9689,0.0704,0.9007
001_interview,000374.jpg,"[28,35,108,108]",0.9987,0.0878,0.911
001_interview,000375.jpg,"[32,38,106,106]",0.9898,0.0896,0.9011
001_interview,000376.jpg,"[21,38,106,106]",0.9814,0.0917,0.8914
001_interview,000377.jpg,"[20,35,107,107]",0.9978,0.0899,0.9081
001_interview,000378.jpg,"[26,31,107,107]",0.9998,0.0724,0.9274
